 ,Label,Area,Mean,X,Y
1,leaf_img1_c100.tif,0,199,1550.333,904.333
2,leaf_img1_c100.tif,0,185,1556.667,905.333
3,leaf_img1_c100.tif,0,189,1561,904
4,leaf_img1_c100.tif,0,230,1623.333,913.333
5,leaf_img1_c100.tif,0,220,1624.333,924.667
6,leaf_img1_c100.tif,0,209,1631,933.667
7,leaf_img1_c100.tif,0,229,1634.667,946.333
8,leaf_img1_c100.tif,0,230,1637.667,956.333
9,leaf_img1_c100.tif,0,218,1644,960.333
10,leaf_img1_c100.tif,0,206,1535,1000
11,leaf_img1_c100.tif,0,223,1550.667,997.333
12,leaf_img1_c100.tif,0,213,1549,994
13,leaf_img1_c100.tif,0,206,1552.667,992.667
14,leaf_img1_c100.tif,0,208,1560.333,964.667
15,leaf_img1_c100.tif,0,210,1562.333,957.333
16,leaf_img1_c100.tif,0,212,1564,951
17,leaf_img1_c100.tif,0,215,1567.667,943
18,leaf_img1_c100.tif,0,216,1672.333,809
19,leaf_img1_c100.tif,0,203,1699.333,822.667
20,leaf_img1_c100.tif,0,201,1707,877
21,leaf_img1_c100.tif,0,206,1717.667,911
22,leaf_img1_c100.tif,0,213,1740,940
23,leaf_img1_c100.tif,0,193,1748.333,942.333
24,leaf_img1_c100.tif,0,212,1795.667,920.333
25,leaf_img1_c100.tif,0,213,1805,914.667
26,leaf_img1_c100.tif,0,208,1807.333,851.667
27,leaf_img1_c100.tif,0,213,1862.667,791.333
28,leaf_img1_c100.tif,0,176,1843.667,986.333
29,leaf_img1_c100.tif,0,208,1857.667,985.333
30,leaf_img1_c100.tif,0,214,1851.333,983.667
31,leaf_img1_c100.tif,0,189,1841.667,977
32,leaf_img1_c100.tif,0,217,1996.667,1124.667
33,leaf_img1_c100.tif,0,225,2004.667,1129.667
34,leaf_img1_c100.tif,0,218,2100.667,1174.333
35,leaf_img1_c100.tif,0,235,2107.667,1176.667
36,leaf_img1_c100.tif,0,238,2105.333,1175.667
37,leaf_img1_c100.tif,0,148,1806.667,1379
38,leaf_img1_c100.tif,0,195,1816.333,1403
39,leaf_img1_c100.tif,0,212,1819.667,1408.667
40,leaf_img1_c100.tif,0,208,1821.333,1414.667
41,leaf_img1_c100.tif,0,201,1824,1422
42,leaf_img1_c100.tif,0,168,1880.333,1366
43,leaf_img1_c100.tif,0,201,1881,1359
